"Arn","AttachmentCount","CreateDate","DefaultVersionId","Description","IsAttachable","Path","PermissionsBoundaryUsageCount","PolicyId","PolicyName","UpdateDate"
"arn:aws:iam::aws:policy/AmazonKinesisFirehoseReadOnlyAccess","0","10/7/15 1:43:39 PM","v1",,"True","/","0","ANPAJ36NT645INW4K24W6","AmazonKinesisFirehoseReadOnlyAccess","10/7/15 1:43:39 PM"
"arn:aws:iam::aws:policy/AWSOpsWorksRegisterCLI","0","2/6/15 12:40:49 PM","v1",,"True","/","0","ANPAJ3AB5ZBFPCQGTVDU4","AWSOpsWorksRegisterCLI","2/6/15 12:40:49 PM"
"arn:aws:iam::aws:policy/GlobalAcceleratorFullAccess","0","11/26/18 8:44:44 PM","v1",,"True","/","0","ANPAJ3NSRQKPB42BCNRT6","GlobalAcceleratorFullAccess","11/26/18 8:44:44 PM"
"arn:aws:iam::aws:policy/AmazonDynamoDBFullAccesswithDataPipeline","0","2/6/15 12:40:14 PM","v2",,"True","/","0","ANPAJ3ORT7KDISSXGHJXA","AmazonDynamoDBFullAccesswithDataPipeline","11/11/15 8:17:42 PM"
"arn:aws:iam::aws:policy/AWSIoTAnalyticsReadOnlyAccess","0","6/18/18 4:37:49 PM","v1",,"True","/","0","ANPAJ3Z4LYBELMXGFLGMI","AWSIoTAnalyticsReadOnlyAccess","6/18/18 4:37:49 PM"
"arn:aws:iam::aws:policy/service-role/AmazonEC2RoleforDataPipelineRole","0","2/6/15 12:41:25 PM","v3",,"True","/service-role/","0","ANPAJ3Z5I2WAJE5DN2J36","AmazonEC2RoleforDataPipelineRole","2/22/16 11:24:05 AM"
"arn:aws:iam::aws:policy/CloudWatchLogsFullAccess","0","2/6/15 12:40:02 PM","v1",,"True","/","0","ANPAJ3ZGNWK2R5HW5BQFO","CloudWatchLogsFullAccess","2/6/15 12:40:02 PM"
"arn:aws:iam::aws:policy/AWSSecurityHubFullAccess","0","11/27/18 5:54:34 PM","v1",,"True","/","0","ANPAJ4262VZCA4HPBZSO6","AWSSecurityHubFullAccess","11/27/18 5:54:34 PM"
"arn:aws:iam::aws:policy/AWSElementalMediaPackageReadOnly","0","12/29/17 6:04:29 PM","v1",,"True","/","0","ANPAJ42DVTPUHKXNYZQCO","AWSElementalMediaPackageReadOnly","12/29/17 6:04:29 PM"
"arn:aws:iam::aws:policy/AWSElasticBeanstalkMulticontainerDocker","0","2/8/16 5:15:29 PM","v2",,"True","/","0","ANPAJ45SBYG72SD6SHJEY","AWSElasticBeanstalkMulticontainerDocker","6/6/16 6:45:37 PM"
"arn:aws:iam::aws:policy/service-role/AmazonPersonalizeFullAccess","0","12/4/18 4:24:33 PM","v1",,"True","/service-role/","0","ANPAJ45XBPPZNI3MMVAUK","AmazonPersonalizeFullAccess","12/4/18 4:24:33 PM"
"arn:aws:iam::aws:policy/AWSMigrationHubFullAccess","0","8/14/17 9:02:54 AM","v3",,"True","/","0","ANPAJ4A2SZKHUYHDYIGOK","AWSMigrationHubFullAccess","8/16/18 3:29:37 PM"
"arn:aws:iam::aws:policy/AmazonFSxReadOnlyAccess","0","11/28/18 10:33:32 AM","v1",,"True","/","0","ANPAJ4ICPKXR6KK32HT52","AmazonFSxReadOnlyAccess","11/28/18 10:33:32 AM"
"arn:aws:iam::aws:policy/IAMUserChangePassword","1","11/14/16 6:25:16 PM","v2",,"True","/","0","ANPAJ4L4MM2A7QIEB56MS","IAMUserChangePassword","11/15/16 5:18:55 PM"
"arn:aws:iam::aws:policy/aws-service-role/LightsailExportAccess","0","9/28/18 11:35:54 AM","v1",,"True","/aws-service-role/","0","ANPAJ4LZGPQLZWMVR4WMQ","LightsailExportAccess","9/28/18 11:35:54 AM"
"arn:aws:iam::aws:policy/AmazonAPIGatewayAdministrator","0","7/9/15 12:34:45 PM","v1",,"True","/","0","ANPAJ4PT6VY5NLKTNUYSI","AmazonAPIGatewayAdministrator","7/9/15 12:34:45 PM"
"arn:aws:iam::aws:policy/AmazonVPCCrossAccountNetworkInterfaceOperations","0","7/18/17 3:47:16 PM","v3",,"True","/","0","ANPAJ53Y4ZY5OHP4CNRJC","AmazonVPCCrossAccountNetworkInterfaceOperations","1/7/19 1:16:23 PM"
"arn:aws:iam::aws:policy/ServiceCatalogEndUserAccess","0","9/29/15 1:41:33 PM","v4",,"True","/","0","ANPAJ56OMCO72RI4J5FSA","ServiceCatalogEndUserAccess","8/8/17 1:58:57 PM"
"arn:aws:iam::aws:policy/service-role/AmazonMacieSetupRole","0","8/14/17 9:53:34 AM","v1",,"True","/service-role/","0","ANPAJ5DC6UBVKND7ADSKA","AmazonMacieSetupRole","8/14/17 9:53:34 AM"
"arn:aws:iam::aws:policy/AmazonPollyReadOnlyAccess","0","11/30/16 12:59:24 PM","v2",,"True","/","0","ANPAJ5FENL3CVPL2FPDLA","AmazonPollyReadOnlyAccess","7/17/18 11:41:07 AM"
"arn:aws:iam::aws:policy/AmazonRDSDataFullAccess","0","11/20/18 3:29:36 PM","v1",,"True","/","0","ANPAJ5HUMNZCSW4IC74T6","AmazonRDSDataFullAccess","11/20/18 3:29:36 PM"
"arn:aws:iam::aws:policy/AmazonMobileAnalyticsWriteOnlyAccess","0","2/6/15 12:40:37 PM","v1",,"True","/","0","ANPAJ5TAWBBQC2FAL3G6G","AmazonMobileAnalyticsWriteOnlyAccess","2/6/15 12:40:37 PM"
"arn:aws:iam::aws:policy/service-role/AmazonEC2SpotFleetTaggingRole","0","6/29/17 1:19:29 PM","v4",,"True","/service-role/","0","ANPAJ5U6UMLCEYLX5OLC4","AmazonEC2SpotFleetTaggingRole","11/17/17 4:51:17 PM"
"arn:aws:iam::aws:policy/job-function/DataScientist","0","11/10/16 11:28:48 AM","v3",,"True","/job-function/","0","ANPAJ5YHI2BQW7EQFYDXS","DataScientist","1/18/19 1:26:23 PM"
"arn:aws:iam::aws:policy/AWSMarketplaceMeteringFullAccess","0","3/17/16 5:39:22 PM","v1",,"True","/","0","ANPAJ65YJPG7CC7LDXNA6","AWSMarketplaceMeteringFullAccess","3/17/16 5:39:22 PM"
"arn:aws:iam::aws:policy/service-role/AWSOpsWorksCMServiceRole","0","11/24/16 3:49:46 AM","v8",,"True","/service-role/","0","ANPAJ6I6MPGJE62URSHCO","AWSOpsWorksCMServiceRole","2/21/19 9:15:07 AM"
"arn:aws:iam::aws:policy/aws-service-role/FSxDeleteServiceLinkedRoleAccess","0","11/28/18 4:40:24 AM","v1",,"True","/aws-service-role/","0","ANPAJ6IRP2YV2YPKWPPNQ","FSxDeleteServiceLinkedRoleAccess","11/28/18 4:40:24 AM"
"arn:aws:iam::aws:policy/WorkLinkServiceRolePolicy","0","1/23/19 1:03:45 PM","v1",,"True","/","0","ANPAJ6JTE3DI5JOULLNLS","WorkLinkServiceRolePolicy","1/23/19 1:03:45 PM"
"arn:aws:iam::aws:policy/aws-service-role/AmazonConnectServiceLinkedRolePolicy","0","9/6/18 7:21:43 PM","v2",,"True","/aws-service-role/","0","ANPAJ6R6FMTSRUJSKI72Y","AmazonConnectServiceLinkedRolePolicy","9/25/18 4:29:18 PM"
"arn:aws:iam::aws:policy/AWSPrivateMarketplaceAdminFullAccess","0","11/27/18 10:32:32 AM","v1",,"True","/","0","ANPAJ6VRZDDCYDOVCOCEI","AWSPrivateMarketplaceAdminFullAccess","11/27/18 10:32:32 AM"
"arn:aws:iam::aws:policy/AWSConnector","0","2/11/15 11:14:31 AM","v3",,"True","/","0","ANPAJ6YATONJHICG3DJ3U","AWSConnector","9/28/15 2:50:38 PM"
"arn:aws:iam::aws:policy/AWSCodeDeployRoleForECSLimited","0","11/27/18 2:42:42 PM","v2",,"True","/","0","ANPAJ6Z7L2IOXEFFOGD2M","AWSCodeDeployRoleForECSLimited","12/19/18 12:06:16 PM"
"arn:aws:iam::aws:policy/AmazonElasticTranscoder_JobsSubmitter","0","6/7/18 4:12:16 PM","v1",,"True","/","0","ANPAJ7AUMMRQOVZRI734S","AmazonElasticTranscoder_JobsSubmitter","6/7/18 4:12:16 PM"
"arn:aws:iam::aws:policy/AWSBackupOperatorPolicy","0","1/18/19 8:31:55 PM","v2",,"True","/","0","ANPAJ7BHZKKS47SGORCJE","AWSBackupOperatorPolicy","3/11/19 5:18:12 PM"
"arn:aws:iam::aws:policy/service-role/AmazonMacieHandshakeRole","0","6/28/18 10:46:10 AM","v1",,"True","/service-role/","0","ANPAJ7CVEIVL347MLOVKI","AmazonMacieHandshakeRole","6/28/18 10:46:10 AM"
"arn:aws:iam::aws:policy/AWSIoTAnalyticsFullAccess","0","6/18/18 6:02:45 PM","v1",,"True","/","0","ANPAJ7FB5ZEKQN445QGKY","AWSIoTAnalyticsFullAccess","6/18/18 6:02:45 PM"
"arn:aws:iam::aws:policy/AWSBatchFullAccess","0","12/6/16 1:35:42 PM","v5",,"True","/","0","ANPAJ7K2KIWB3HZVK3CUO","AWSBatchFullAccess","11/5/18 3:09:23 PM"
