"Name","SI","Handles","VM","WS","PM","NPM","Path","Parent","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","SafeHandle","Handle","BasePriority","ExitCode","HasExited","StartTime","ExitTime","Id","MachineName","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize64","NonpagedSystemMemorySize","PagedMemorySize64","PagedMemorySize","PagedSystemMemorySize64","PagedSystemMemorySize","PeakPagedMemorySize64","PeakPagedMemorySize","PeakWorkingSet64","PeakWorkingSet","PeakVirtualMemorySize64","PeakVirtualMemorySize","PriorityBoostEnabled","PriorityClass","PrivateMemorySize64","PrivateMemorySize","ProcessName","ProcessorAffinity","SessionId","StartInfo","Threads","HandleCount","VirtualMemorySize64","VirtualMemorySize","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet64","WorkingSet","SynchronizingObject","MainModule","MainWindowHandle","MainWindowTitle","Responding","PrivilegedProcessorTime","TotalProcessorTime","UserProcessorTime","Site","Container"
"cfg80211","0",,"0","0","0","0",,"System.Diagnostics.Process (kthreadd)",,"0",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","751","-20",,"False","3/9/19 6:45:55 AM",,"751",".","9223372036854775807","0","System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","RealTime","0","0","cfg80211","15","0",,"System.Diagnostics.ProcessThreadCollection",,"0","0","False",,,,"0","0",,,"0","","True","00:00:00","00:00:00","00:00:00",,
"chrome","3407","446","1595129856","352165888","0","0","/opt/google/chrome/chrome","System.Diagnostics.Process (gnome-shell)",,"1083.81",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","1045","0",,"False","3/13/19 8:23:18 PM",,"1045",".","9223372036854775807","0","System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0","chrome","15","3407",,"System.Diagnostics.ProcessThreadCollection","446","1595129856","1595129856","False",,,,"352165888","352165888",,"System.Diagnostics.ProcessModule (chrome)","0","","True","00:04:47.0900000","00:18:03.8100000","00:13:16.7200000",,
"chrome","3407","15","461451264","60272640","0","0","/opt/google/chrome/chrome","System.Diagnostics.Process (chrome)",,"0.12",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","1061","0",,"False","3/13/19 8:23:18 PM",,"1061",".","9223372036854775807","0","System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0","chrome","15","3407",,"System.Diagnostics.ProcessThreadCollection","15","461451264","461451264","False",,,,"60272640","60272640",,"System.Diagnostics.ProcessModule (chrome)","0","","True","00:00:00.0100000","00:00:00.1200000","00:00:00.1100000",,
"chrome","3407","15","461451264","15130624","0","0","/opt/google/chrome/chrome","System.Diagnostics.Process (chrome)",,"0.95",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","1065","0",,"False","3/13/19 8:23:18 PM",,"1065",".","9223372036854775807","0","System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0","chrome","15","3407",,"System.Diagnostics.ProcessThreadCollection","15","461451264","461451264","False",,,,"15130624","15130624",,"System.Diagnostics.ProcessModule (chrome)","0","","True","00:00:00.9000000","00:00:00.9500000","00:00:00.0500000",,
"chrome","3407","281","659464192","188977152","0","0","/opt/google/chrome/chrome","System.Diagnostics.Process (chrome)",,"648.08",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","1101","0",,"False","3/13/19 8:23:18 PM",,"1101",".","9223372036854775807","0","System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0","chrome","15","3407",,"System.Diagnostics.ProcessThreadCollection","281","659464192","659464192","False",,,,"188977152","188977152",,"System.Diagnostics.ProcessModule (chrome)","0","","True","00:03:45.2300000","00:10:48.0800000","00:07:02.8500000",,
"chrome","3407","38","1536720896","234229760","0","0","/opt/google/chrome/chrome","System.Diagnostics.Process (chrome)",,"83.18",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","1248","0",,"False","3/13/19 8:23:19 PM",,"1248",".","9223372036854775807","0","System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0","chrome","15","3407",,"System.Diagnostics.ProcessThreadCollection","38","1536720896","1536720896","False",,,,"234229760","234229760",,"System.Diagnostics.ProcessModule (chrome)","0","","True","00:00:09.1700000","00:01:23.1800000","00:01:14.0100000",,
"chrome","3407","33","723271680","76619776","0","0","/opt/google/chrome/chrome","System.Diagnostics.Process (chrome)",,"0.88",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","1318","0",,"False","3/13/19 8:23:19 PM",,"1318",".","9223372036854775807","0","System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0","chrome","15","3407",,"System.Diagnostics.ProcessThreadCollection","33","723271680","723271680","False",,,,"76619776","76619776",,"System.Diagnostics.ProcessModule (chrome)","0","","True","00:00:00.2300000","00:00:00.8800000","00:00:00.6500000",,
"chrome","3407","33","749752320","91480064","0","0","/opt/google/chrome/chrome","System.Diagnostics.Process (chrome)",,"37.05",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","1324","0",,"False","3/13/19 8:23:19 PM",,"1324",".","9223372036854775807","0","System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0","chrome","15","3407",,"System.Diagnostics.ProcessThreadCollection","33","749752320","749752320","False",,,,"91480064","91480064",,"System.Diagnostics.ProcessModule (chrome)","0","","True","00:00:04.5300000","00:00:37.0500000","00:00:32.5200000",,
"chrome","3407","33","730611712","86069248","0","0","/opt/google/chrome/chrome","System.Diagnostics.Process (chrome)",,"0.64",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","7676","0",,"False","3/14/19 6:37:06 AM",,"7676",".","9223372036854775807","0","System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0","chrome","15","3407",,"System.Diagnostics.ProcessThreadCollection","33","730611712","730611712","False",,,,"86069248","86069248",,"System.Diagnostics.ProcessModule (chrome)","0","","True","00:00:00.1500000","00:00:00.6400000","00:00:00.4900000",,
"chrome","3407","39","839270400","141303808","0","0","/opt/google/chrome/chrome","System.Diagnostics.Process (chrome)",,"30.08",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","7858","0",,"False","3/14/19 6:43:38 AM",,"7858",".","9223372036854775807","0","System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0","chrome","15","3407",,"System.Diagnostics.ProcessThreadCollection","39","839270400","839270400","False",,,,"141303808","141303808",,"System.Diagnostics.ProcessModule (chrome)","0","","True","00:00:04.7600000","00:00:30.0800000","00:00:25.3200000",,
